,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
580,PC - 2,Ranice Gilberte,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,30-04-2016,Active,,160,152,112.00,8.00,0.00,0.00,40.00,73.68%,184,160,0.00,24.00,0.00,0.00,160.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,164,0.00,0.00,4.00,0.00,164.00,0.00%,184,144,322.00,32.00,8.00,0.00,-178.00,223.61%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,112,112.00,56.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,160,128.00,16.00,0.00,0.00,32.00,80.00%,"2,080",1900,"1,514.00",168.00,12.00,0.00,386.00,79.68%
798,PC - 3,Bell Stoffel,Level 7,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,30-04-2016,Active,,-,-,-,-,-,-,-,-,184,176,128.00,8.00,0.00,0.00,24.00,72.73%,176,168,180.00,8.00,0.00,0.00,12.00,107.14%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,160,164.00,16.00,0.00,0.00,0.00,102.50%,176,136,169.00,40.00,0.00,0.00,0.00,124.26%,168,104,114.00,64.00,0.00,0.00,0.00,109.62%,184,168,192.00,16.00,0.00,0.00,0.00,114.29%,160,160,176.00,0.00,0.00,0.00,0.00,110.00%,176,152,163.00,24.00,0.00,0.00,0.00,107.24%,"1,920",1696,"1,758.00",224.00,0.00,0.00,36.00,103.66%
582,PC - 2,Demeter Aryn,Level 7,Location 7,Client Service Staff,Resigned,Sile Lorrie,30-04-2016,Resigned,30-09-2017,160,160,40.00,0.00,0.00,0.00,80.00,25.00%,184,168,288.00,16.00,0.00,0.00,-72.00,171.43%,176,152,96.00,24.00,0.00,0.00,56.00,63.16%,168,168,108.00,0.00,0.00,0.00,32.00,64.29%,184,168,72.00,16.00,0.00,0.00,112.00,42.86%,80,80,-40.00,0.00,0.00,0.00,160.00,-50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,952,896,564.00,56.00,0.00,0.00,368.00,62.95%
583,PC - 1,Deva Anita,Level 7,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,30-04-2016,Active,,160,160,168.00,0.00,0.00,0.00,0.00,105.00%,184,176,128.00,8.00,0.00,0.00,48.00,72.73%,176,168,88.00,8.00,0.00,0.00,80.00,52.38%,168,152,132.00,0.00,16.00,0.00,20.00,86.84%,184,144,132.00,40.00,0.00,0.00,32.00,91.67%,168,152,154.00,16.00,0.00,0.00,0.00,101.32%,176,136,120.00,40.00,0.00,0.00,16.00,88.24%,176,164,112.00,8.00,4.00,0.00,52.00,68.29%,168,88,32.00,80.00,0.00,0.00,56.00,36.36%,184,168,152.00,16.00,0.00,0.00,16.00,90.48%,160,144,128.00,16.00,0.00,0.00,24.00,88.89%,176,160,168.00,16.00,0.00,0.00,0.00,105.00%,"2,080",1812,"1,514.00",248.00,20.00,0.00,344.00,83.55%
584,PC - 1,Darline Gerhardine,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,30-04-2016,Active,,160,112,112.00,48.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,152,160.00,0.00,16.00,0.00,0.00,105.26%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,168,144,144.00,24.00,0.00,0.00,0.00,100.00%,176,144,140.00,32.00,0.00,0.00,32.00,97.22%,176,168,170.00,8.00,0.00,0.00,0.00,101.19%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,152.00,16.00,0.00,0.00,16.00,90.48%,160,152,168.00,8.00,0.00,0.00,-16.00,110.53%,176,104,104.00,72.00,0.00,0.00,0.00,100.00%,"2,080",1792,"1,798.00",272.00,16.00,0.00,32.00,100.33%
585,PC - 2,Morganica Nanny,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cosette Lavena,30-04-2016,Active,,160,152,96.00,8.00,0.00,0.00,56.00,63.16%,184,148,152.00,8.00,28.00,0.00,12.00,102.70%,176,168,32.00,8.00,0.00,0.00,136.00,19.05%,168,149,156.00,16.00,3.00,0.00,57.00,104.70%,184,88,32.00,88.00,8.00,0.00,64.00,36.36%,168,160,170.41,8.00,0.00,0.00,-4.00,106.51%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,96,40.00,80.00,0.00,0.00,56.00,41.67%,"2,080",1777,"1,494.41",264.00,39.00,0.00,377.00,84.10%
586,PC - 2,Madonna Constantina,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cosette Lavena,30-04-2016,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,152,148.00,8.00,24.00,0.00,12.00,97.37%,176,117,108.00,56.00,3.00,0.00,9.00,92.31%,168,168,125.00,0.00,0.00,0.00,35.00,74.40%,184,168,24.00,8.00,8.00,0.00,152.00,14.29%,168,168,160.00,0.00,0.00,0.00,8.00,95.24%,176,176,191.00,0.00,0.00,0.00,0.00,108.52%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,176,128,168.00,48.00,0.00,0.00,8.00,131.25%,"2,080",1853,"1,700.00",192.00,35.00,0.00,224.00,91.74%
587,PC - 2,Gretta Sarina,Level 7,Location 9,Client Service Staff,Confirmed Staff,Orelee Hanna,30-04-2016,Active,,160,145,160.00,0.00,15.00,0.00,0.00,110.34%,184,157.5,160.00,24.00,2.50,0.00,0.00,101.59%,176,160,144.00,16.00,0.00,0.00,16.00,90.00%,168,168,169.00,0.00,0.00,0.00,11.00,100.60%,184,184,-9.00,0.00,0.00,0.00,161.00,-4.89%,168,168,352.00,0.00,0.00,0.00,5.00,209.52%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,120,96.00,40.00,0.00,0.00,24.00,80.00%,176,160,112.00,16.00,0.00,0.00,48.00,70.00%,"2,080",1894.5,"1,816.00",168.00,17.50,0.00,265.00,95.86%
588,PC - 1,Nonie Jasmina,Level 6,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,30-04-2016,Active,,160,120,120.00,40.00,0.00,0.00,0.00,100.00%,184,184,160.00,0.00,0.00,0.00,8.00,86.96%,176,176,200.00,0.00,0.00,0.00,0.00,113.64%,168,163,168.00,0.00,5.00,0.00,0.00,103.07%,184,168,184.00,16.00,0.00,0.00,32.00,109.52%,168,140,140.00,24.00,4.00,0.00,0.00,100.00%,176,131,136.00,40.00,5.00,0.00,0.00,103.82%,176,151,152.00,24.00,1.00,0.00,0.00,100.66%,168,128,128.00,40.00,0.00,0.00,5.00,100.00%,184,167,168.00,16.00,1.00,0.00,0.00,100.60%,160,148,140.00,8.00,4.00,0.00,12.00,94.59%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,"2,080",1820,"1,840.00",240.00,20.00,0.00,57.00,101.10%
589,PC - 1,Rebe Melicent,Level 7,Location 3,Client Service Staff,Confirmed Staff,Marris Gilda,30-04-2016,Active,,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,160,152.00,16.00,0.00,0.00,8.00,95.00%,168,152,144.00,16.00,0.00,0.00,8.00,94.74%,184,144,0.00,40.00,0.00,0.00,144.00,0.00%,168,144,184.00,24.00,0.00,0.00,-40.00,127.78%,176,112,0.00,64.00,0.00,0.00,112.00,0.00%,176,176,140.00,0.00,0.00,0.00,36.00,79.55%,168,168,148.00,0.00,0.00,0.00,20.00,88.10%,184,184,208.00,0.00,0.00,0.00,-24.00,113.04%,160,159,158.00,0.00,1.00,0.00,1.00,99.37%,176,159.25,156.00,16.00,0.75,0.00,3.25,97.96%,"2,080",1878.25,"1,610.00",200.00,1.75,0.00,268.25,85.72%
590,PC - 3,Karin Alica,Level 6,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,30-04-2016,Active,,160,152,112.00,8.00,0.00,0.00,40.00,73.68%,184,176,62.00,8.00,0.00,0.00,114.00,35.23%,176,112,160.00,64.00,0.00,0.00,-32.00,142.86%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,168,148,0.00,8.00,12.00,0.00,148.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,176,176,0.00,0.00,0.00,0.00,192.00,0.00%,168,168,0.00,0.00,0.00,0.00,208.00,0.00%,184,184,352.00,0.00,0.00,0.00,-160.00,191.30%,160,152,420.00,8.00,0.00,0.00,48.00,276.32%,176,176,204.00,0.00,0.00,0.00,-16.00,115.91%,"2,080",1956,"1,310.00",112.00,12.00,0.00,"1,054.00",66.97%
591,PC - 3,Morgana Blondie,Level 6,Location 2,Client Service Staff,Confirmed Staff,Tallia Eyde,30-04-2016,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,180,184.00,0.00,4.00,0.00,0.00,102.22%,176,160,152.00,16.00,0.00,8.00,0.00,95.00%,168,168,160.00,0.00,0.00,8.00,0.00,95.24%,184,160,152.00,24.00,0.00,8.00,0.00,95.00%,168,112,120.00,56.00,0.00,0.00,0.00,107.14%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,72,80.00,72.00,24.00,0.00,0.00,111.11%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,156,160.00,0.00,4.00,0.00,0.00,102.56%,176,176,16.00,0.00,0.00,0.00,160.00,9.09%,"2,080",1824,"1,664.00",224.00,32.00,24.00,160.00,91.23%
592,PC - 2,Querida Dulcine,Level 8,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Grata Rochella,30-04-2016,Secondment,,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,172,148.00,8.00,4.00,0.00,30.50,86.05%,176,164,158.00,8.00,4.00,0.00,6.00,96.34%,168,160,174.00,8.00,0.00,0.00,0.00,108.75%,184,151,137.00,24.00,9.00,0.00,0.00,90.73%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,16,8,8.00,8.00,0.00,0.00,0.00,100.00%,"1,920",1767,"1,737.00",136.00,17.00,0.00,36.50,98.30%
593,PC - 2,Dorotea Inger,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,30-04-2016,Active,,160,80,4.00,80.00,0.00,23.50,52.50,5.00%,184,176,10.00,8.00,0.00,92.00,74.00,5.68%,176,160,1.00,16.00,0.00,79.00,84.00,0.63%,168,131,24.00,0.00,37.00,72.00,39.00,18.32%,184,128,3.00,56.00,0.00,64.00,61.00,2.34%,168,152,12.00,16.00,0.00,82.00,59.00,7.89%,176,104,9.00,72.00,0.00,53.00,42.00,8.65%,176,134.2,17.00,40.00,1.80,70.50,48.70,12.67%,168,112,2.00,56.00,0.00,56.00,54.00,1.79%,184,168,0.00,16.00,0.00,100.00,68.00,0.00%,160,160,18.00,0.00,0.00,84.00,58.00,11.25%,176,160,24.00,16.00,0.00,84.00,52.00,15.00%,"2,080",1665.2,124.00,376.00,38.80,860.00,692.20,7.45%
595,PC - 1,Bea Vale,Level 7,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,31-05-2016,Active,,160,124,160.00,32.00,4.00,0.00,-32.00,129.03%,184,184,58.00,0.00,0.00,0.00,126.00,31.52%,176,113,2.00,48.00,15.00,0.00,111.00,1.77%,168,149,124.00,16.00,3.00,0.00,39.00,83.22%,184,157,160.00,24.00,3.00,0.00,4.50,101.91%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,176,175.5,156.00,0.00,0.50,0.00,38.00,88.89%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,160,159.25,160.00,0.00,0.75,0.00,0.00,100.47%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,"2,080",1765.75,"1,524.00",288.00,26.25,0.00,286.50,86.31%
598,PC - 3,Olimpia Euphemia,Level 7,Location 4,Client Service Staff,Resigned,Hedi Elna,31-05-2016,Resigned,30-09-2017,160,120,120.00,40.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,164.5,188.50,8.00,3.50,0.00,0.00,114.59%,168,168,80.00,0.00,0.00,0.00,88.00,47.62%,184,176,0.00,8.00,0.00,0.00,176.00,0.00%,8,8,0.00,0.00,0.00,0.00,8.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,880,820.5,572.50,56.00,3.50,0.00,272.00,69.77%
599,PC - 3,Marne Linn,Level 5,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,31-05-2016,Active,,160,160,120.00,0.00,0.00,0.00,40.00,75.00%,184,176,0.00,8.00,0.00,0.00,176.00,0.00%,176,136,0.00,40.00,0.00,0.00,136.00,0.00%,168,160,0.00,8.00,0.00,0.00,160.00,0.00%,184,144,0.00,40.00,0.00,0.00,144.00,0.00%,168,128,0.00,40.00,0.00,0.00,128.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,160,142,0.00,0.00,18.00,0.00,144.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,"2,080",1926,120.00,136.00,18.00,0.00,"1,808.00",6.23%
600,PC - 2,Jemmy Alexa,Level 8,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,31-05-2016,Active,,160,144,37.00,16.00,0.00,0.00,104.00,25.69%,184,120,24.00,64.00,0.00,0.00,96.00,20.00%,176,152,176.00,16.00,8.00,0.00,-24.00,115.79%,168,160,216.00,8.00,0.00,0.00,-64.00,135.00%,184,136,180.00,48.00,0.00,0.00,0.00,132.35%,168,160,152.00,8.00,0.00,0.00,0.00,95.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,112,116.00,56.00,0.00,0.00,0.00,103.57%,184,136,136.00,48.00,0.00,2.00,0.00,100.00%,160,110.75,112.00,44.00,5.25,0.00,0.00,101.13%,176,156,156.00,20.00,0.00,0.00,0.00,100.00%,"2,080",1714.75,"1,633.00",352.00,13.25,2.00,112.00,95.23%
601,PC - 3,Anastasie Lindsay,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,31-05-2016,Active,,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,176,90,82.00,80.00,6.00,0.00,16.00,91.11%,168,165,130.00,0.00,3.00,0.00,35.00,78.79%,184,112,120.00,56.00,16.00,0.00,0.00,107.14%,168,168,160.00,0.00,0.00,0.00,8.00,95.24%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,104,88.00,64.00,0.00,0.00,16.00,84.62%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"2,080",1791,"1,732.00",264.00,25.00,0.00,75.00,96.71%
602,PC - 2,Orelie Domeniga,Level 8,Location 7,Client Service Staff,Resigned,Rosabella Arlina,31-05-2016,Resigned,31-12-2017,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,179,187.00,5.00,0.00,0.00,0.00,104.47%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,168,158,184.00,8.00,2.00,0.00,0.00,116.46%,184,144,183.00,40.00,0.00,0.00,0.00,127.08%,168,120,131.00,48.00,0.00,0.00,0.00,109.17%,176,88,89.80,88.00,0.00,0.00,0.00,102.05%,176,176,178.00,0.00,0.00,0.00,0.00,101.14%,120,120,120.00,0.00,0.00,0.00,8.00,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,512",1249,"1,336.80",261.00,2.00,0.00,8.00,107.03%
603,PC - 1,Anthia Emalia,Level 7,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,31-05-2016,Active,,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,184,160,0.00,24.00,0.00,0.00,160.00,0.00%,176,160,104.00,16.00,0.00,0.00,56.00,65.00%,168,152,160.00,0.00,16.00,0.00,0.00,105.26%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,168,168,292.00,0.00,0.00,0.00,0.00,173.81%,176,128,104.00,48.00,0.00,0.00,0.00,81.25%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,168,80,107.00,88.00,0.00,0.00,0.00,133.75%,184,144,136.00,40.00,0.00,0.00,8.00,94.44%,160,159.25,160.00,0.00,0.75,0.00,0.00,100.47%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1823.25,"1,575.00",240.00,16.75,0.00,384.00,86.38%
604,PC - 3,Tova Collette,Level 7,Location 1,Client Service Staff,Confirmed Staff,Misti Helena,31-05-2016,Active,,160,152,42.00,8.00,0.00,0.00,110.00,27.63%,184,184,77.00,0.00,0.00,0.00,107.00,41.85%,176,144,120.00,32.00,0.00,0.00,24.00,83.33%,168,144,136.00,24.00,0.00,0.00,0.00,94.44%,184,184,112.00,0.00,0.00,0.00,80.00,60.87%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,176,80,16.00,96.00,0.00,0.00,64.00,20.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,128,256.00,40.00,0.00,0.00,-128.00,200.00%,184,176,152.00,8.00,0.00,0.00,0.00,86.36%,160,160,160.00,0.00,0.00,0.00,24.00,100.00%,176,160,104.00,16.00,0.00,0.00,56.00,65.00%,"2,080",1816,"1,303.00",264.00,0.00,0.00,513.00,71.75%
605,PC - 1,Darci Arabelle,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,31-05-2016,Active,,160,144,77.00,16.00,0.00,0.00,24.00,53.47%,184,176,136.00,8.00,0.00,0.00,40.00,77.27%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,160,126.00,8.00,0.00,0.00,26.00,78.75%,184,152,212.00,32.00,0.00,0.00,-52.00,139.47%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,136,136.00,40.00,0.00,0.00,0.00,100.00%,176,171,171.00,0.00,5.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,6.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,160,144.00,0.00,0.00,0.00,16.00,90.00%,176,136,136.00,40.00,0.00,0.00,0.00,100.00%,"2,080",1851,"1,754.00",224.00,5.00,0.00,60.00,94.76%
606,PC - 1,Jessalyn Kariotta,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,31-05-2016,Active,,160,144,144.00,8.00,8.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,168,160.00,8.00,0.00,0.00,8.00,95.24%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,152,136.00,24.00,0.00,0.00,0.00,89.47%,176,176,192.00,0.00,0.00,0.00,0.00,109.09%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,144,56.00,32.00,0.00,0.00,88.00,38.89%,"2,080",1968,"1,872.00",104.00,8.00,0.00,96.00,95.12%
607,PC - 2,Kaylyn Carlene,Level 8,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,31-05-2016,Active,,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,176,168,152.00,8.00,0.00,0.00,16.00,90.48%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,144,152.00,40.00,0.00,0.00,0.00,105.56%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,128,88.00,40.00,0.00,0.00,0.00,68.75%,184,168,208.00,16.00,0.00,0.00,0.00,123.81%,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,176,136,136.00,40.00,0.00,0.00,0.00,100.00%,"2,080",1848,"1,832.00",232.00,0.00,0.00,16.00,99.13%
608,PC - 2,Tiffie Mariann,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,31-05-2016,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,165,202.00,16.00,3.00,0.00,0.00,122.42%,168,160,153.00,8.00,0.00,0.00,32.00,95.63%,176,152,230.00,24.00,0.00,0.00,26.00,151.32%,176,176,117.00,0.00,0.00,0.00,56.00,66.48%,168,128,204.00,40.00,0.00,0.00,-72.00,159.38%,184,168,136.00,16.00,0.00,0.00,32.00,80.95%,160,160,168.00,0.00,0.00,0.00,-8.00,105.00%,176,160,136.00,16.00,0.00,0.00,40.00,85.00%,"2,080",1933,"2,002.00",144.00,3.00,0.00,106.00,103.57%
609,PC - 2,Dorri Harmonie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Josi Ula,31-05-2016,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,156,160.00,0.00,20.00,0.00,0.00,102.56%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,184,192.00,0.00,0.00,0.00,0.00,104.35%,168,144,144.00,24.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,96,96.00,64.00,0.00,0.00,0.00,100.00%,176,80,80.00,96.00,0.00,0.00,0.00,100.00%,"2,080",1804,"1,808.00",256.00,20.00,0.00,0.00,100.22%
610,PC - 1,Adda Rachel,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,31-05-2016,Active,,160,148,112.00,8.00,4.00,0.00,36.00,75.68%,184,176,79.00,8.00,0.00,0.00,97.00,44.89%,176,160,138.00,16.00,0.00,0.00,22.00,86.25%,168,128,104.00,40.00,0.00,0.00,16.00,81.25%,184,184,0.00,0.00,0.00,0.00,192.00,0.00%,168,152,280.00,16.00,0.00,0.00,-128.00,184.21%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,184,168.00,0.00,0.00,0.00,16.00,91.30%,160,160,144.00,0.00,0.00,0.00,16.00,90.00%,176,104,88.00,72.00,0.00,0.00,16.00,84.62%,"2,080",1876,"1,593.00",200.00,4.00,0.00,283.00,84.91%
611,PC - 3,Yevette Analiese,Level 7,Location 4,Client Service Staff,Serving Notice Period,Hedi Elna,31-05-2016,Active,,160,152,160.00,8.00,0.00,0.00,0.00,105.26%,184,176,192.00,8.00,0.00,0.00,0.00,109.09%,176,156.5,155.00,16.00,3.50,0.00,8.00,99.04%,168,158,0.00,8.00,2.00,0.00,158.00,0.00%,184,156,0.00,28.00,0.00,0.00,156.00,0.00%,168,148.5,0.00,8.00,11.50,0.00,148.50,0.00%,176,152,8.00,24.00,0.00,0.00,144.00,5.26%,176,160,140.00,8.00,8.00,0.00,36.00,87.50%,168,127.5,116.00,40.00,0.50,0.00,28.00,90.98%,184,160,124.00,24.00,0.00,0.00,36.00,77.50%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,56,-16.00,120.00,0.00,0.00,72.00,-28.57%,"2,080",1762.5,"1,039.00",292.00,25.50,0.00,786.50,58.95%
612,PC - 1,Ina Katherina,Level 8,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,31-05-2016,Active,,160,120,72.00,40.00,0.00,0.00,48.00,60.00%,184,176,144.00,8.00,0.00,0.00,32.00,81.82%,176,160,144.00,16.00,0.00,0.00,16.00,90.00%,168,136,168.00,16.00,16.00,0.00,-32.00,123.53%,184,176,184.00,8.00,0.00,0.00,0.00,104.55%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,136,104.00,48.00,0.00,0.00,32.00,76.47%,160,112,88.00,48.00,0.00,0.00,24.00,78.57%,176,64,120.00,112.00,0.00,0.00,-56.00,187.50%,"2,080",1696,"1,640.00",368.00,16.00,0.00,64.00,96.70%
